review_id	review_query_id	query	candidate_text	relevance_0_1_2	review_notes
review-98c8f0f5184605cb	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"## 应用练习

练习一：用不超过一百字解释梯度下降。练习二：根据“学习率过大可能在最优点附近震荡甚至发散。”判断涉及的关键概念。练习三：针对“损失下降不代表测试误差一定同步下降。”改写一段错误答案并说明理由。

复核任务：请围绕“梯度下降”重述本节的应用练习，并分别标出材料中的事实、解释、例子和限制。

练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。

定向练习 9：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“应用练习”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 复习检查表

完成本资料后，应能准确写出梯度下降的定义，复述机制，完成一次比较，解释一个案例并识别一个陷阱。自测关键词为：学习率、梯度、收敛、批量、随机。若遗漏任一项，应回到对应章节补证据。

复核任务：请围绕“梯度下降”重述本节的复习检查表，并分别标出材料中的事实、解释、例子和限制。

自测补充：先遮住正文口述梯度下降，再用关键词检查遗漏。第二轮只看易错点修改答案，第三轮用案例验证是否真正理解，而非机械背诵。"		
review-066a2eb8e57634fc	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"## 应用练习

练习一：用不超过一百字解释冷战。练习二：根据“柏林危机和古巴导弹危机体现高强度对抗风险。”判断涉及的关键概念。练习三：针对“不能用单一宣言解释几十年的全部进程。”改写一段错误答案并说明理由。

复核任务：请围绕“冷战”重述本节的应用练习，并分别标出材料中的事实、解释、例子和限制。

练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。

定向练习 9：从本节找出一个能直接支持“冷战”的句子，再写一个与“应用练习”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 复习检查表

完成本资料后，应能准确写出冷战的定义，复述机制，完成一次比较，解释一个案例并识别一个陷阱。自测关键词为：冷战、美苏、两极格局、代理人战争。若遗漏任一项，应回到对应章节补证据。

复核任务：请围绕“冷战”重述本节的复习检查表，并分别标出材料中的事实、解释、例子和限制。

自测补充：先遮住正文口述冷战，再用关键词检查遗漏。第二轮只看易错点修改答案，第三轮用案例验证是否真正理解，而非机械背诵。"		
review-0001dc1af456c60a	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"# 监督学习

## 核心界定

监督学习利用带标签样本学习输入到目标的映射。 本节把“监督学习”放在机器学习基础的课程体系中理解，回答它研究什么、解决什么问题以及答题时应先写出的中心判断。关键词包括标签、损失函数、泛化、分类、回归。

复核任务：请围绕“监督学习”重述本节的核心界定，并分别标出材料中的事实、解释、例子和限制。

边界补充：它与无监督学习的关键差异是训练数据是否提供目标标签。 因此定义题不仅要写“是什么”，还要指出它不是什么，以及判断对象是否满足成立条件。

定向练习 1：从本节找出一个能直接支持“监督学习”的句子，再写一个与“核心界定”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 形成机制

训练阶段最小化预测与标签之间的损失，推断阶段把学到的规律用于未见样本。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。

复核任务：请围绕“监督学习”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。"		
review-c2671939348eb66a	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"定向练习 5：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“高频易错”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 证据组织

围绕梯度下降组织证据时，可使用“定义—机制—例证—限制”的四步结构。梯度下降沿损失函数负梯度方向迭代更新参数。 学习率控制每次步长，批量方式决定每次估计梯度使用多少样本。 最后补充损失下降不代表测试误差一定同步下降。，可以防止答案只剩口号。

复核任务：请围绕“梯度下降”重述本节的证据组织，并分别标出材料中的事实、解释、例子和限制。

组织补充：完整证据链至少包含一个直接定义片段和一个机制或案例片段。关键词“学习率、梯度、收敛、批量、随机”用于定位材料，不应替代句子之间的逻辑。

定向练习 6：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“证据组织”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 简答题模板"		
review-68b45ea59b037558	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"定向练习 6：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“证据组织”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 简答题模板

若题目要求解释梯度下降，第一句给出中心定义；第二段写关键机制：学习率控制每次步长，批量方式决定每次估计梯度使用多少样本。；第三段用案例支撑：学习率过大可能在最优点附近震荡甚至发散。；结尾指出边界：损失下降不代表测试误差一定同步下降。。

复核任务：请围绕“梯度下降”重述本节的简答题模板，并分别标出材料中的事实、解释、例子和限制。

表达补充：简答题每段只承担一个功能。定义段回答对象，机制段说明过程，案例段落地，限制段控制结论强度；中心内容仍是“梯度下降沿损失函数负梯度方向迭代更新参数。”

定向练习 7：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“简答题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 比较题模板"		
review-0a159f7a9a229c79	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"训练阶段最小化预测与标签之间的损失，推断阶段把学到的规律用于未见样本。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。

复核任务：请围绕“监督学习”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。

机制补充：可以把“训练阶段最小化预测与标签之间的损失，推断阶段把学到的规律用于未见样本。”拆成起点、传导环节和结果三个节点，再检查案例“垃圾邮件分类可把邮件特征映射为正常或垃圾标签。”能否逐项对应。

定向练习 2：从本节找出一个能直接支持“监督学习”的句子，再写一个与“形成机制”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 概念辨析

它与无监督学习的关键差异是训练数据是否提供目标标签。 对比题不能只列两个定义，还要在比较维度上说明相同点、不同点和适用条件。最常见维度包括目标、输入、过程、结果与局限。

复核任务：请围绕“监督学习”重述本节的概念辨析，并分别标出材料中的事实、解释、例子和限制。"		
review-3f6b5857b1e1845e	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"定向练习 11：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“综合联系”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 章节小结

本章围绕梯度下降形成完整复习链：梯度下降沿损失函数负梯度方向迭代更新参数。 其运作或发展逻辑是：学习率控制每次步长，批量方式决定每次估计梯度使用多少样本。；与相邻概念的辨析重点是：批量梯度稳定但计算重，随机梯度噪声大但更新快。；典型案例是：学习率过大可能在最优点附近震荡甚至发散。

复核任务：请围绕“梯度下降”重述本节的章节小结，并分别标出材料中的事实、解释、例子和限制。

总结补充：最终应形成可核查的四句话：概念是“梯度下降沿损失函数负梯度方向迭代更新参数。”；机制是“学习率控制每次步长，批量方式决定每次估计梯度使用多少样本。”；例证是“学习率过大可能在最优点附近震荡甚至发散。”；边界是“损失下降不代表测试误差一定同步下降。”

定向练习 12：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“章节小结”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。"		
review-152feeba947994de	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"定向练习 7：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“简答题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 比较题模板

比较题先确定共同讨论对象，再选择稳定维度。可以把梯度下降与相邻概念放在目标、条件、方法、结果四栏中比较。核心区别提示是：批量梯度稳定但计算重，随机梯度噪声大但更新快。

复核任务：请围绕“梯度下降”重述本节的比较题模板，并分别标出材料中的事实、解释、例子和限制。

评分补充：比较题若只写两列定义，通常缺少关系判断。高质量答案应明确共同点、差异点、适用条件，并用“批量梯度稳定但计算重，随机梯度噪声大但更新快。”作结。

定向练习 8：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“比较题模板”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 应用练习

练习一：用不超过一百字解释梯度下降。练习二：根据“学习率过大可能在最优点附近震荡甚至发散。”判断涉及的关键概念。练习三：针对“损失下降不代表测试误差一定同步下降。”改写一段错误答案并说明理由。"		
review-14288d188f36749b	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"## 应用练习

练习一：用不超过一百字解释社会主义改造。练习二：根据“对资本主义工商业实行和平赎买体现特定政策安排。”判断涉及的关键概念。练习三：针对“不能忽略改造后经济管理仍需继续探索。”改写一段错误答案并说明理由。

复核任务：请围绕“社会主义改造”重述本节的应用练习，并分别标出材料中的事实、解释、例子和限制。

练习补充：完成练习后，把答案中的每个判断回指到具体材料句。若某句只能依赖常识而找不到本资料证据，应删除、降格或明确标为资料不足。

定向练习 9：从本节找出一个能直接支持“社会主义改造”的句子，再写一个与“应用练习”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 复习检查表

完成本资料后，应能准确写出社会主义改造的定义，复述机制，完成一次比较，解释一个案例并识别一个陷阱。自测关键词为：社会主义改造、公有制、和平赎买、三大改造。若遗漏任一项，应回到对应章节补证据。

复核任务：请围绕“社会主义改造”重述本节的复习检查表，并分别标出材料中的事实、解释、例子和限制。"		
review-66e5ba5e291315c9	review-05447772bb2d85b7	梯度下降里的“步子迈得太大”具体指什么，为什么它会让损失在低点附近反复越过去？	"# 梯度下降

## 核心界定

梯度下降沿损失函数负梯度方向迭代更新参数。 本节把“梯度下降”放在机器学习基础的课程体系中理解，回答它研究什么、解决什么问题以及答题时应先写出的中心判断。关键词包括学习率、梯度、收敛、批量、随机。

复核任务：请围绕“梯度下降”重述本节的核心界定，并分别标出材料中的事实、解释、例子和限制。

边界补充：批量梯度稳定但计算重，随机梯度噪声大但更新快。 因此定义题不仅要写“是什么”，还要指出它不是什么，以及判断对象是否满足成立条件。

定向练习 1：从本节找出一个能直接支持“梯度下降”的句子，再写一个与“核心界定”有关但材料尚未支持的判断。前者保留为答案证据，后者应标记为待查或资料不足，不能依靠常识补全。

## 形成机制

学习率控制每次步长，批量方式决定每次估计梯度使用多少样本。 复习时要把条件、过程和结果按因果链展开，避免只有结论没有推理。若题目使用“为什么”“如何发生”等问法，应明确每一环如何推动下一环。

复核任务：请围绕“梯度下降”重述本节的形成机制，并分别标出材料中的事实、解释、例子和限制。"		
